[16/12/2019 05:31:27] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:33:08] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:34:36] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:36:12] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:37:36] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:38:51] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:40:20] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:41:51] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:43:23] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:45:06] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:46:42] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:48:20] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:49:41] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:51:13] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:52:39] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:54:20] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:55:54] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:57:37] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:59:32] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:01:14] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:02:40] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:04:14] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:05:49] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:07:35] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:09:08] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:10:36] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:12:08] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:13:41] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:15:20] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:16:52] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
